product_id,product_name,category_id,price,cost_price,stock_quantity,unit,status,created_date
PRD001,智能手机 X10,C02,3999.00,2800.00,150,台,active,2025-01-10
PRD002,无线蓝牙耳机,C02,299.00,180.00,500,副,active,2025-01-15
PRD003,机械键盘 RGB,C03,599.00,350.00,80,个,active,2025-02-01
PRD004,4K 显示器 27寸,C03,2499.00,1900.00,45,台,active,2025-02-10
PRD005,陶瓷咖啡杯,C05,39.90,18.00,1200,个,active,2025-03-01
PRD006,不粘锅三件套,C05,299.00,150.00,200,套,active,2025-03-05
PRD007,运动跑鞋,C07,399.00,220.00,350,双,active,2025-04-01
PRD008,瑜伽垫,C07,89.00,40.00,600,张,active,2025-04-10
PRD009,进口巧克力,C08,128.00,75.00,400,盒,active,2025-05-01
PRD010,坚果礼盒,C08,168.00,95.00,300,盒,active,2025-05-05
PRD011,Special!@#$%,C02,999.00,500.00,10,个,active,2025-06-01
PRD012,单引号'测试,C03,50.00,25.00,100,个,active,2025-06-10
PRD013,双引号"测试,C04,80.00,40.00,80,个,active,2025-06-15
PRD014,反斜杠\测试,C05,120.00,60.00,60,个,active,2025-06-20
PRD015,CRLF
测试,C06,200.00,100.00,50,件,active,2025-06-25
